#20|3|2.0|2.0|50.0|50.0|0.0|BT_GROUND|
#5|10|2.0|5.0|50.0|50.0|0.0|BT_GROUND|
#21|1|1.0|1.0|50.0|50.0|0.0|BT_WALL|	
#1|13|1.0|2.0|50.0|50.0|90.0|BT_WALL|	
#21|1|1.0|15.0|50.0|50.0|0.0|BT_WALL|	
#1|13|21.0|2.0|50.0|50.0|90.0|BT_WALL|	
#1|9|7.0|6.0|50.0|50.0|90.0|BT_WALL|	
#14|1|7.0|5.0|50.0|50.0|0.0|BT_WALL|	
3.0|3.0|50.0|50.0|0.0|BT_TABLE|
12.0|3.0|50.0|50.0|0.0|BT_TABLE|
2.0|7.0|50.0|50.0|0.0|BT_TABLE|
6.0|6.0|50.0|50.0|0.0|BT_TABLE|
#1|2|18.0|3.0|50.0|50.0|90.0|BT_TABLE|	
#2|1|4.0|11.0|50.0|50.0|90.0|BT_TABLE|	
3.0|2.0|50.0|50.0|180.0|BT_CHAIR|
3.0|4.0|50.0|50.0|0.0|BT_CHAIR|
2.0|6.0|50.0|50.0|180.0|BT_CHAIR|
2.0|8.0|50.0|50.0|0.0|BT_CHAIR|
6.0|5.0|50.0|50.0|180.0|BT_CHAIR|
6.0|7.0|50.0|50.0|0.0|BT_CHAIR|
11.0|3.0|50.0|50.0|90.0|BT_CHAIR|
13.0|3.0|50.0|50.0|270.0|BT_CHAIR|
#1|2|17.0|3.0|50.0|50.0|90.0|BT_CHAIR|
#1|2|19.0|3.0|50.0|50.0|270.0|BT_CHAIR|
#2|1|4.0|10.0|50.0|50.0|180.0|BT_CHAIR|
#2|1|4.0|12.0|50.0|50.0|0.0|BT_CHAIR|
4.0|4.0|50.0|50.0|0.0|BT_PLANT|
8.0|4.0|50.0|50.0|90.0|BT_PLANT|
14.0|4.0|50.0|50.0|180.0|BT_PLANT|
6.0|14.0|50.0|50.0|180.0|BT_PLANT|
